game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241126_Austin Peay_Georgia St.,2024-11-26,Austin Peay,Georgia St.,143.0,143.5,143.1,146.1,112,0.7286,0.8515,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241126_Belmont_Loyola Marymount,2024-11-26,Belmont,Loyola Marymount,149.5,149.5,149.3,150.7,140,0.5809,0.5497,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.929,9.29
20241126_Bethune Cookman_North Dakota,2024-11-26,Bethune Cookman,North Dakota,143.5,143.5,143.7,147.1,146,0.7539,0.8615,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241126_Bryant_Tennessee St.,2024-11-26,Bryant,Tennessee St.,158.0,157.0,157.6,160.6,182,0.6993,0.8538,Betonline,-110.0,1.909,9.09,MyBookie,-110.0,1.911,9.11
20241126_Cal Baptist_SMU,2024-11-26,Cal Baptist,SMU,153.0,153.5,152.7,156.7,156,0.772,0.8983,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241126_Chicago St._Drexel,2024-11-26,Chicago St.,Drexel,137.5,136.5,137.4,140.3,154,0.7075,0.7124,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241126_Colorado_Connecticut,2024-11-26,Colorado,Connecticut,144.0,144.0,144.0,147.3,145,0.7342,0.8318,MyBookie,-108.0,1.922,9.22,Betonline,-110.0,1.909,9.09
20241126_Coppin St._Saint Joseph's,2024-11-26,Coppin St.,Saint Joseph's,141.0,142.5,141.8,142.4,137,0.5929,0.6349,MyBookie,-110.0,1.912,9.12,Betonline,-110.0,1.909,9.09
20241126_Creighton_San Diego St.,2024-11-26,Creighton,San Diego St.,138.0,138.0,137.8,139.3,124,0.5837,0.5147,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.926,9.26
20241126_Denver_Utah Tech,2024-11-26,Denver,Utah Tech,153.5,153.5,153.1,156.3,122,0.7128,0.8717,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241126_Detroit Mercy_Tulsa,2024-11-26,Detroit Mercy,Tulsa,143.0,143.0,143.0,148.6,107,0.8362,0.9582,MyBookie,-108.0,1.924,9.24,Betonline,-110.0,1.909,9.09
20241126_Duke_Kansas,2024-11-26,Duke,Kansas,149.0,149.0,148.9,151.7,147,0.6865,0.8637,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
